MAT_whittaker,MAP_whittaker
30,0
30,0.1319
30,0.2201
30,0.3084
30,0.3967
30,0.4849
30,0.5732
30,0.6615
30,0.7497
30,0.838
30,0.9263
30,1.0145
30,1.1028
30,1.191
30,1.2793
30,1.3676
30,1.4558
30,1.5441
30,7.6322
30,13.7204
30,19.8085
30,25.8967
30,31.9848
30,38.073
30,44.1611
30,50.2493
30,56.3374
30,62.4256
30,68.5137
30,74.6018
30,80.69
30,86.7781
30,92.8662
30,98.9544
30,105.0426
30,111.1307
30,117.2189
30,123.307
30,129.3952
30,135.4833
30,141.5714
30,147.6596
30,153.7477
30,159.8359
30,165.924
30,172.0122
30,178.1003
30,184.1885
30,190.2766
30,196.3648
30,202.4529
30,208.541
30,214.6292
30,220.7173
30,226.8937
30,232.9819
30,239.07
30,245.1582
30,251.2463
30,257.3345
30,263.4226
30,269.5108
30,275.5989
30,281.6871
30,287.7752
30,293.8633
30,299.9515
30,306.0396
30,312.1278
30,318.2159
30,324.3041
30,330.3921
30,336.4804
30,342.5685
30,348.6566
30,354.7448
30,360.8329
30,366.9211
30,373.0092
30,379.0974
30,385.1855
30,391.2737
30,397.3618
30,403.45
30,409.5381
30,415.6263
30,421.7144
30,427.8025
30,433.8907
30,439.9788
30,446.067
30,452.1551
30,458.2433
30,464.3314
30,470.4196
30,476.5077
30,482.5958
30,488.684
30,494.7721
29.9493,500.772
29.9485,506.8601
29.9485,506.8601
29.8878,506.7719
29.8272,506.6836
29.7665,506.5954
29.8264,512.7718
29.8256,518.8599
29.8862,518.9482
29.8854,525.0363
29.9453,531.2127
29.9445,537.3009
29.9437,543.389
29.9428,549.4772
29.9421,555.5653
29.9413,561.6535
29.9405,567.7416
29.9397,573.8298
29.9388,579.9179
29.9381,586.0061
29.9373,592.0942
29.9365,598.1823
29.9357,604.2705
29.9348,610.3586
29.9341,616.4468
29.9333,622.5349
29.9325,628.6231
29.871,634.623
29.8702,640.7111
29.8694,646.7992
29.8686,652.8874
29.8678,658.9755
29.867,665.0637
29.8662,671.1518
29.8654,677.24
29.8646,683.3281
29.8638,689.4163
29.863,695.5044
29.8622,701.5926
29.8614,707.6806
29.8606,713.7688
29.8598,719.857
29.859,725.9451
29.8582,732.0333
29.8574,738.1214
29.8566,744.2096
29.8558,750.2977
29.855,756.3859
29.8542,762.474
29.8534,768.5622
29.8526,774.6503
29.8518,780.7384
29.851,786.8266
29.8502,792.9146
29.8494,799.0029
29.8486,805.091
29.8477,811.1792
29.847,817.2673
29.8462,823.3555
29.8454,829.4436
29.7839,835.4435
29.7831,841.5316
29.7823,847.6198
29.7814,853.7079
29.7807,859.7961
29.7799,865.8841
29.7791,871.9724
29.7783,878.0605
29.7774,884.1487
29.7767,890.2368
29.7759,896.3249
29.7751,902.4131
29.7743,908.5011
29.7734,914.5894
29.7727,920.6775
29.7719,926.7657
29.7711,932.8538
29.7703,938.942
29.7694,945.0301
29.7687,951.1183
29.7679,957.2064
29.7671,963.2945
29.7663,969.3827
29.7654,975.4708
29.7647,981.559
29.7639,987.6471
29.7631,993.7353
29.7623,999.8234
29.7614,1005.9116
29.7607,1011.9997
29.7599,1018.0879
29.7591,1024.176
29.6977,1030.1759
29.6968,1036.264
29.696,1042.3522
29.6952,1048.4403
29.6944,1054.5285
29.6936,1060.6166
29.6928,1066.7048
29.692,1072.7929
29.6912,1078.881
29.6904,1084.9691
29.6896,1091.0573
29.6888,1097.1455
29.688,1103.2336
29.6872,1109.3218
29.6864,1115.4099
29.6856,1121.4981
29.6848,1127.5862
29.684,1133.6743
29.6832,1139.7625
29.6824,1145.8506
29.6816,1151.9388
29.6808,1158.0269
29.68,1164.1151
29.6792,1170.2032
29.6784,1176.2913
29.6776,1182.3795
29.6768,1188.4677
29.676,1194.5558
29.6752,1200.6439
29.6743,1206.7321
29.6736,1212.8202
29.6728,1218.9083
29.672,1224.9965
29.6106,1230.9964
29.6098,1237.0846
29.609,1243.1727
29.6082,1249.2608
29.6074,1255.349
29.6066,1261.4371
29.6058,1267.5253
29.605,1273.6134
29.6042,1279.7016
29.6034,1285.7896
29.6026,1291.8779
29.6018,1297.966
29.601,1304.0542
29.6,1310.1423
29.5993,1316.2304
29.5985,1322.3186
29.5977,1328.4067
29.5969,1334.4949
29.596,1340.583
29.5953,1346.6712
29.5945,1352.7593
29.5937,1358.8475
29.5929,1364.9356
29.592,1371.0238
29.5913,1377.1118
29.5905,1383.2
29.5897,1389.2882
29.5889,1395.3763
29.588,1401.4645
29.5873,1407.5526
29.5865,1413.6408
29.5857,1419.7288
29.5849,1425.8171
29.5234,1431.8169
29.5227,1437.9051
29.5219,1443.9931
29.5211,1450.0814
29.5203,1456.1695
29.5194,1462.2577
29.5187,1468.3458
29.5179,1474.434
29.5171,1480.5221
29.5163,1486.6103
29.5154,1492.6984
29.5147,1498.7865
29.5139,1504.8747
29.5131,1510.9628
29.5123,1517.051
29.5114,1523.1391
29.5107,1529.2273
29.5099,1535.3154
29.5091,1541.4036
29.5083,1547.4917
29.5074,1553.5798
29.5067,1559.668
29.5059,1565.7561
29.5051,1571.8443
29.5043,1577.9324
29.5034,1584.0206
29.5026,1590.1087
29.5018,1596.1969
29.501,1602.285
29.5002,1608.3732
29.4994,1614.4613
29.4986,1620.5495
29.4978,1626.6376
29.4364,1632.6375
29.4356,1638.7256
29.4348,1644.8138
29.434,1650.9019
29.4332,1656.9901
29.4324,1663.0782
29.4316,1669.1663
29.4308,1675.2545
29.43,1681.3426
29.4292,1687.4308
